season;round;date;time;location;team1;team2;result1;result2;attendance
1970-1971;30.0;1971.06.27;17:30;Fáy utcai Stadion;Vasas SC;Újpesti Dózsa SC;2.0;1.0;5000.0
1970-1971;30.0;1971.06.27;17:30;Sóstói Stadion;Videoton SC;Salgótarjáni BTC;2.0;0.0;5000.0
1970-1971;30.0;1971.06.27;17:30;Béke téri Stadion;Csepel SC;Komlói Bányász SK;2.0;0.0;1000.0
1970-1971;30.0;1971.06.27;17:30;Vagongyári pálya;Rába Vasas ETO;Diósgyőri Vasgyárak TK;3.0;0.0;2200.0
1970-1971;30.0;1971.06.27;17:30;PVSK Stadion;Pécsi Dózsa SC;MTK;0.0;0.0;1500.0
1970-1971;30.0;1971.06.27;17:30;Bányász Stadion;Tatabányai Bányász SC;Budapesti Honvéd SE;2.0;2.0;6000.0
1970-1971;30.0;1971.06.27;17:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Szegedi EOL;1.0;0.0;3000.0
1970-1971;30.0;1971.06.27;17:30;Népstadion;Ferencvárosi TC;Dunaújvárosi Kohász SE;2.0;0.0;7000.0
1970-1971;29.0;1971.06.20;17:30;Hungária körúti Stadion;MTK;Rába Vasas ETO;1.0;1.0;4000.0
1970-1971;29.0;1971.06.20;17:30;Honvéd-pálya;Budapesti Honvéd SE;Vasas SC;1.0;1.0;15000.0
1970-1971;29.0;1971.06.20;17:30;Bányász Stadion;Komlói Bányász SK;Szombathelyi Haladás VSE;3.0;1.0;2000.0
1970-1971;29.0;1971.06.20;17:30;Kohász Stadion;Dunaújvárosi Kohász SE;Csepel SC;1.0;1.0;400.0
1970-1971;29.0;1971.06.20;17:30;DVTK Stadion;Diósgyőri Vasgyárak TK;Salgótarjáni BTC;0.0;0.0;5000.0
1970-1971;29.0;1971.06.20;17:30;Bányász Stadion;Tatabányai Bányász SC;Pécsi Dózsa SC;4.0;0.0;4000.0
1970-1971;29.0;1971.06.20;17:30;Felső Tisza-parti stadion;Szegedi EOL;Ferencvárosi TC;3.0;5.0;8000.0
1970-1971;29.0;1971.06.20;17:30;Megyeri úti Stadion;Újpesti Dózsa SC;Videoton SC;1.0;1.0;6000.0
1970-1971;28.0;1971.06.13;17:30;Fáy utcai Stadion;Vasas SC;MTK;0.0;3.0;6000.0
1970-1971;28.0;1971.06.13;17:30;PVSK Stadion;Pécsi Dózsa SC;Szegedi EOL;2.0;1.0;1500.0
1970-1971;28.0;1971.06.13;17:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Tatabányai Bányász SC;4.0;2.0;5000.0
1970-1971;28.0;1971.06.13;17:30;Népstadion;Ferencvárosi TC;Budapesti Honvéd SE;4.0;2.0;22000.0
1970-1971;28.0;1971.06.13;17:30;Kohász Stadion;Salgótarjáni BTC;Komlói Bányász SK;3.0;2.0;5000.0
1970-1971;28.0;1971.06.13;17:30;Sóstói Stadion;Videoton SC;Diósgyőri Vasgyárak TK;2.0;0.0;6000.0
1970-1971;28.0;1971.06.13;17:30;Béke téri Stadion;Csepel SC;Újpesti Dózsa SC;1.0;1.0;4000.0
1970-1971;28.0;1971.06.13;17:30;Vagongyári pálya;Rába Vasas ETO;Dunaújvárosi Kohász SE;2.0;0.0;3000.0
1970-1971;27.0;1971.06.05;17:00;Fáy utcai Stadion;Vasas SC;Szombathelyi Haladás VSE;3.0;0.0;3000.0
1970-1971;27.0;1971.06.05;17:30;Bányász Stadion;Komlói Bányász SK;Budapesti Honvéd SE;0.0;2.0;4000.0
1970-1971;27.0;1971.06.05;19:00;Megyeri úti Stadion;Újpesti Dózsa SC;Dunaújvárosi Kohász SE;8.0;0.0;5000.0
1970-1971;27.0;1971.06.05;19:00;Béke téri Stadion;Csepel SC;Pécsi Dózsa SC;0.0;1.0;2000.0
1970-1971;27.0;1971.06.06;16:30;Kohász Stadion;Salgótarjáni BTC;Szegedi EOL;1.0;0.0;5000.0
1970-1971;27.0;1971.06.06;16:30;DVTK Stadion;Diósgyőri Vasgyárak TK;MTK;1.0;0.0;5000.0
1970-1971;27.0;1971.06.06;17:30;Sóstói Stadion;Videoton SC;Tatabányai Bányász SC;2.0;1.0;6000.0
1970-1971;27.0;1971.06.06;17:30;Vagongyári pálya;Rába Vasas ETO;Ferencvárosi TC;1.0;1.0;12000.0
1970-1971;26.0;1971.05.29;19:00;Megyeri úti Stadion;Újpesti Dózsa SC;Ferencvárosi TC;0.0;1.0;20000.0
1970-1971;26.0;1971.05.30;16:00;Bányász Stadion;Komlói Bányász SK;Rába Vasas ETO;1.0;1.0;3000.0
1970-1971;26.0;1971.05.30;17:15;Sóstói Stadion;Videoton SC;Szombathelyi Haladás VSE;2.0;1.0;3000.0
1970-1971;26.0;1971.05.30;17:30;Kohász Stadion;Salgótarjáni BTC;Csepel SC;1.0;2.0;6000.0
1970-1971;26.0;1971.05.30;17:30;Honvéd-pálya;Budapesti Honvéd SE;Szegedi EOL;2.0;0.0;1500.0
1970-1971;26.0;1971.05.30;17:30;Hungária körúti Stadion;MTK;Tatabányai Bányász SC;1.0;0.0;2000.0
1970-1971;26.0;1971.05.30;17:30;Kohász Stadion;Dunaújvárosi Kohász SE;Pécsi Dózsa SC;2.0;2.0;500.0
1970-1971;26.0;1971.05.30;17:30;DVTK Stadion;Diósgyőri Vasgyárak TK;Vasas SC;0.0;1.0;7000.0
1970-1971;25.0;1971.05.23;11:00;Béke téri Stadion;Csepel SC;Videoton SC;4.0;0.0;1500.0
1970-1971;25.0;1971.05.23;16:30;Felső Tisza-parti Stadion;Szegedi EOL;MTK;2.0;5.0;2000.0
1970-1971;25.0;1971.05.23;16:30;Népstadion;Ferencvárosi TC;Diósgyőri Vasgyárak TK;2.0;0.0;7000.0
1970-1971;25.0;1971.05.23;16:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Budapesti Honvéd SE;2.0;0.0;11000.0
1970-1971;25.0;1971.05.23;17:00;Vagongyári pálya;Rába Vasas ETO;Salgótarjáni BTC;3.0;0.0;5500.0
1970-1971;25.0;1971.05.23;17:30;Fáy utcai Stadion;Vasas SC;Komlói Bányász SK;6.0;1.0;2000.0
1970-1971;25.0;1971.05.23;17:30;Bányász Stadion;Tatabányai Bányász SC;Dunaújvárosi Kohász SE;1.0;0.0;5000.0
1970-1971;25.0;1971.05.23;17:30;PVSK Stadion;Pécsi Dózsa SC;Újpesti Dózsa SC;1.0;2.0;8000.0
1970-1971;24.0;1971.05.12;16:00;Kohász Stadion;Salgótarjáni BTC;Szombathelyi Haladás VSE;4.0;1.0;8000.0
1970-1971;24.0;1971.05.12;16:00;Kohász Stadion;Dunaújvárosi Kohász SE;Vasas SC;0.0;2.0;2000.0
1970-1971;24.0;1971.05.12;16:00;Bányász Stadion;Komlói Bányász SK;Videoton SC;0.0;0.0;4000.0
1970-1971;24.0;1971.05.12;17:00;Felső Tisza-parti Stadion;Szegedi EOL;Tatabányai Bányász SC;1.0;3.0;5000.0
1970-1971;24.0;1971.05.12;17:00;Honvéd-pálya;Budapesti Honvéd SE;Pécsi Dózsa SC;0.0;0.0;5000.0
1970-1971;24.0;1971.05.12;17:00;Hungária körúti Stadion;MTK;Ferencvárosi TC;1.0;1.0;28000.0
1970-1971;24.0;1971.05.12;17:00;DVTK Stadion;Diósgyőri Vasgyárak TK;Csepel SC;0.0;0.0;5000.0
1970-1971;24.0;1971.05.12;19:00;Megyeri úti Stadion;Újpesti Dózsa SC;Rába Vasas ETO;1.0;0.0;10000.0
1970-1971;23.0;1971.05.08;16:00;Bányász Stadion;Komlói Bányász SK;Tatabányai Bányász SC;2.0;2.0;3000.0
1970-1971;23.0;1971.05.09;10:30;Béke téri Stadion;Csepel SC;Vasas SC;0.0;1.0;8000.0
1970-1971;23.0;1971.05.09;16:00;DVTK Stadion;Diósgyőri Vasgyárak TK;Szegedi EOL;2.0;2.0;5000.0
1970-1971;23.0;1971.05.09;17:00;Sóstói Stadion;Videoton SC;Ferencvárosi TC;2.0;3.0;15000.0
1970-1971;23.0;1971.05.09;17:00;Kohász Stadion;Salgótarjáni BTC;Pécsi Dózsa SC;3.0;2.0;8000.0
1970-1971;23.0;1971.05.09;17:00;Kohász Stadion;Dunaújvárosi Kohász SE;MTK;2.0;1.0;1000.0
1970-1971;23.0;1971.05.09;17:00;Vagongyári pálya;Rába Vasas ETO;Szombathelyi Haladás VSE;2.0;1.0;6000.0
1970-1971;23.0;1971.05.09;20:00;Megyeri úti Stadion;Újpesti Dózsa SC;Budapesti Honvéd SE;3.0;2.0;18000.0
1970-1971;22.0;1971.05.01;16:00;Rohonci úti Stadion;Szombathelyi Haladás VSE;MTK;2.0;2.0;10000.0
